product,price,quantity,date,region
pink morsel,$3.00 ,546,2/6/2018,north
pink morsel,$3.00 ,549,2/6/2018,south
pink morsel,$3.00 ,577,2/6/2018,east
pink morsel,$3.00 ,519,2/6/2018,west
gold morsel,$9.99 ,580,2/6/2018,north
gold morsel,$9.99 ,530,2/6/2018,south
gold morsel,$9.99 ,576,2/6/2018,east
gold morsel,$9.99 ,580,2/6/2018,west
magenta morsel,$2.50 ,522,2/6/2018,north
magenta morsel,$2.50 ,560,2/6/2018,south
magenta morsel,$2.50 ,583,2/6/2018,east
magenta morsel,$2.50 ,552,2/6/2018,west
chartreuse morsel,$3.00 ,543,2/6/2018,north
chartreuse morsel,$3.00 ,574,2/6/2018,south
chartreuse morsel,$3.00 ,577,2/6/2018,east
chartreuse morsel,$3.00 ,503,2/6/2018,west
periwinkle morsel,$1.25 ,530,2/6/2018,north
periwinkle morsel,$1.25 ,546,2/6/2018,south
periwinkle morsel,$1.25 ,506,2/6/2018,east
periwinkle morsel,$1.25 ,559,2/6/2018,west
vermilion morsel,$4.99 ,533,2/6/2018,north
vermilion morsel,$4.99 ,568,2/6/2018,south
vermilion morsel,$4.99 ,556,2/6/2018,east
vermilion morsel,$4.99 ,573,2/6/2018,west
lapis morsel,$1.99 ,544,2/6/2018,north
lapis morsel,$1.99 ,577,2/6/2018,south
lapis morsel,$1.99 ,532,2/6/2018,east
lapis morsel,$1.99 ,585,2/6/2018,west
pink morsel,$3.00 ,529,2/7/2018,north
pink morsel,$3.00 ,566,2/7/2018,south
pink morsel,$3.00 ,514,2/7/2018,east
pink morsel,$3.00 ,545,2/7/2018,west
gold morsel,$9.99 ,506,2/7/2018,north
gold morsel,$9.99 ,512,2/7/2018,south
gold morsel,$9.99 ,524,2/7/2018,east
gold morsel,$9.99 ,559,2/7/2018,west
magenta morsel,$2.50 ,594,2/7/2018,north
magenta morsel,$2.50 ,596,2/7/2018,south
magenta morsel,$2.50 ,537,2/7/2018,east
magenta morsel,$2.50 ,524,2/7/2018,west
chartreuse morsel,$3.00 ,533,2/7/2018,north
chartreuse morsel,$3.00 ,547,2/7/2018,south
chartreuse morsel,$3.00 ,501,2/7/2018,east
chartreuse morsel,$3.00 ,548,2/7/2018,west
periwinkle morsel,$1.25 ,573,2/7/2018,north
periwinkle morsel,$1.25 ,545,2/7/2018,south
periwinkle morsel,$1.25 ,578,2/7/2018,east
periwinkle morsel,$1.25 ,504,2/7/2018,west
vermilion morsel,$4.99 ,561,2/7/2018,north
